displayed	display	1830	2898	VBN 
manner	manner	2148	2911	NN 
rotated	rotate	2473	2898	VBN 
degrees	degree	1830	2959	NNS 
difficult	difficult	2232	2959	JJ 
review	review	2475	2959	NN 
figure	figure	2718	2959	NN 
patent	patent	2687	3028	NN 
document	document	2835	3022	NN 
printed	print	1829	3084	VBN 
figures	figure	2242	3084	NNS 
printed	print	2479	3084	VBN 
landscape	landscape	2701	3084	NN 
position	position	2923	3084	NN 
difficult	difficult	2203	3147	JJ 
review	review	2437	3147	NN 
patent	patent	2670	3153	NN 
figures	figure	2814	3147	NNS 
pages	page	2168	3285	NNS 
landscape	landscape	1940	3334	NN 
orientation	orientation	2169	3334	NN 
pages	page	2776	3348	NNS 
regular	regular	1829	3396	JJ 
Pages	Page	2459	3397	NNS 
portrait	portrait	2361	3459	NN 
orientation	orientation	2532	3459	NN 
easy	easy	2944	3472	JJ 
view	view	1829	3520	NN 
electronic	electronic	2158	3520	JJ 
format	format	2376	3520	NN 
image	image	2641	3520	NN 
viewer	viewer	2778	3520	NN 
printed	print	1829	3583	VBN 
element	element	2356	3583	NN 
figures	figure	2764	3583	NNS 
figure	figure	1830	3646	NN 
indicia	indicia	1964	3646	NN 
patents	patent	2309	3652	NNS 
orientated	orientate	2608	3646	VBN 
tal	tal	1829	3708	NN 
manner	manner	1901	3721	NN 
traditionally	traditionally	2280	3708	RB 
text	text	2666	3714	NN 
images	image	2861	3708	NNS 
pages	page	2100	3846	NNS 
comprise	comprise	2572	3832	VB 
respectively	respectively	1829	3895	RB 
originally	originally	2787	3895	RB 
scanned	scan	2666	3957	VBN 
Patent	Patent	1830	4021	NN 
Trademark	Trademark	2023	4020	NN 
Office	Office	2263	4020	NN 
orientation	orientation	2746	4020	NN 
increasingly	increasingly	1967	4083	RB 
difficult	difficult	2244	4083	JJ 
view	view	2489	4083	NN 
figures	figure	2838	4083	NNS 
electronically	electronically	1830	4144	RB 
electronic	electronic	2491	4144	JJ 
file	file	2712	4144	NN 
image	image	2793	4144	NN 
set	set	2982	4151	NN 
position	position	2130	4207	NN 
pages	page	2608	4221	NNS 
despite	despite	2052	4269	IN 
thereof	thereof	2520	4269	RB 
actually	actually	2681	4269	RB 
original	original	1830	4332	NN 
landscape	landscape	2008	4332	NN 
Identifying	Identify	1939	4393	VBG 
shown	show	1953	4456	VBN 
invention	invention	2545	4456	NN 
acquires	acquire	2843	4456	VBZ 
patent	patent	1829	4525	NN 
image	image	1974	4519	NN 
file	file	2116	4519	NN 
TIFF	TIFF	2722	4521	NN 
file	file	3026	4519	NN 
original	original	2099	4581	NN 
patent	patent	2278	4587	NN 
image	image	2424	4581	NN 
file	file	2570	4581	NN 
file	file	2257	4644	NN 
format	format	2337	4644	NN 
facilitate	facilitate	2544	4644	VB 
efficient	efficient	2802	4644	JJ 
BI	BI	1940	351	NNS 
ms	m	1078	445	NNS 
process	process	460	541	NN 
patent	patent	779	534	NN 
image	image	927	528	NN 
file	file	1073	528	NN 
patent	patent	1256	534	NN 
image	image	1404	528	NN 
file	file	1550	528	NN 
converted	convert	622	592	VBN 
original	original	1065	592	NN 
file	file	1237	592	NN 
format	format	1313	592	NN 
file	file	461	658	NN 
patent	patent	726	730	NN 
image	image	875	724	NN 
file	file	1023	724	NN 
pages	page	1457	738	NNS 
patent	patent	460	795	NN 
document	document	606	789	NN 
containing	contain	831	789	VBG 
identified	identify	1526	789	VBN 
using	use	460	855	VBG 
conventional	conventional	644	855	JJ 
character	character	1252	855	NN 
Various	Various	637	921	JJ 
file	file	808	921	NN 
formats	format	883	921	NNS 
preferable	preferable	1134	985	JJ 
TIFF	TIFF	1535	987	NN 
file	file	1659	985	NN 
format	format	461	1051	NN 
utilized	utilize	674	1051	VBN 
requires	require	983	1051	VBZ 
conversion	conversion	1242	1051	NN 
file	file	1657	1051	NN 
formats	format	461	1117	NNS 
page	page	1024	1131	NN 
patent	patent	1282	1123	NN 
document	document	1428	1117	NN 
typically	typically	460	1182	RB 
skipped	skip	734	1182	VBN 
cover	cover	1124	1195	NN 
page	page	1256	1195	NN 
United	Unite	1436	1182	VBN 
patents	patent	460	1254	NNS 
portrait	portrait	910	1248	NN 
position	position	1078	1248	NN 
text	text	1559	1254	NN 
exemplary	exemplary	544	1314	JJ 
figure	figure	785	1314	NN 
easy	easy	1055	1327	JJ 
read	read	1227	1314	NN 
horizontal	horizontal	1336	1314	NN 
aligned	align	1570	1314	VBN 
header	header	1132	1444	NN 
pages	page	1419	1458	NNS 
figures	figure	829	1510	NNS 
typically	typically	988	1510	RB 
indicator	indicator	1141	1575	NN 
information	information	1344	1575	NN 
identifying	identify	706	1641	VBG 
text	text	1342	1647	NN 
portions	portion	1442	1641	NNS 
patent	patent	460	1713	NN 
document	document	602	1707	NN 
typically	typically	820	1707	RB 
header	header	1358	1707	NN 
information	information	556	1771	NN 
top	top	941	1778	NN 
information	information	1477	1771	NN 
identify	identify	678	1837	VB 
drawing	draw	935	1837	NN 
sheets	sheet	1123	1837	NNS 
patent	patent	1359	1843	NN 
methods	method	598	1899	NNS 
identify	identify	1144	1899	VB 
drawing	draw	1407	1899	NN 
sheets	sheet	1598	1899	NNS 
identifying	identify	702	1962	VBG 
set	set	1118	1968	NN 
pages	page	1244	1975	NNS 
little	little	1484	1962	RB 
text	text	1593	1968	NN 
identifying	identify	667	2025	VBG 
set	set	1083	2031	NN 
pages	page	1207	2038	NNS 
lot	lot	1484	2025	NN 
white	white	1607	2025	NN 
identifying	identify	681	2086	VBG 
set	set	1103	2092	NN 
pages	page	1230	2100	NNS 
identifying	identify	660	2149	VBG 
page	page	1064	2163	NN 
containing	contain	1173	2149	VBG 
text	text	1477	2156	NN 
GROUND	grind	461	2212	NN 
INVENTION	INVENTION	893	2212	NN 
text	text	1391	2217	NN 
textual	textual	557	2274	NN 
page	page	715	2287	NN 
patent	patent	968	2280	NN 
thereby	thereby	1352	2274	RB 
pages	page	1604	2287	NNS 
cover	cover	726	2349	NN 
page	page	851	2349	NN 
identified	identify	1128	2335	VBN 
page	page	1338	2349	NN 
identifying	identify	762	2398	VBG 
substantial	substantial	1176	2398	JJ 
quantity	quantity	1411	2398	NN 
text	text	1646	2404	NN 
indicating	indicate	625	2461	VBG 
start	start	931	2467	NN 
text	text	1173	2467	NN 
identifying	identify	1494	2461	VBG 
column	column	601	2523	NN 
line	line	1103	2523	NN 
start	start	623	2592	NN 
text	text	861	2592	NN 
combination	combination	1325	2586	NN 
pages	page	651	2787	NNS 
include	include	1124	2773	VBP 
header	header	460	2835	NN 
process	process	1102	2848	NN 
identified	identify	1345	2835	VBN 
Page	Page	805	2899	NN 
patent	patent	1193	2904	NN 
page	page	460	2973	NN 
patent	patent	845	2966	NN 
invention	invention	629	3022	NN 
identifies	identify	841	3022	VBZ 
