designate	designate	787	1079	VB 
similar	similar	1293	1079	JJ 
throughout	throughout	340	1138	IN 
upper	upper	711	1224	JJ 
perspective	perspective	857	1211	NN 
view	view	1118	1211	NN 
invention	invention	340	1272	NN 
removably	removably	548	1272	RB 
engaging	engage	782	1272	VBG 
piece	piece	1024	1272	NN 
view	view	722	1344	NN 
invention	invention	1136	1344	NN 
removably	removably	1342	1345	RB 
engaging	engage	340	1404	VBG 
piece	piece	620	1404	NN 
rear	rear	634	1490	NN 
view	view	729	1477	NN 
DESCRIPTION	DESCRIPTION	533	1587	NN 
PREFERRED	PREFER	1077	1587	VBN 
EMBODIMENT	EMBODIMENT	777	1647	NN 
descriptively	descriptively	695	1739	RB 
similar	similar	340	1799	JJ 
reference	reference	524	1799	NN 
characters	character	756	1799	NNS 
denote	denote	1009	1799	NN 
similar	similar	1186	1799	JJ 
elements	element	1369	1799	NNS 
throughout	throughout	340	1860	IN 
illustrate	illustrate	1342	1860	VB 
combination	combination	340	1921	NN 
hammer	hammer	621	1921	NN 
lumber	lumber	919	1921	NN 
manipulating	manipulate	1092	1921	NN 
tool	tool	1389	1921	NN 
comprises	comprise	476	1980	VBZ 
handle	handle	728	1981	VB 
claw	claw	375	2042	NN 
socket	socket	594	2042	NN 
striking	strike	922	2041	JJ 
head	head	1091	2042	NN 
socket	socket	1367	2042	NN 
receives	receive	340	2101	VBZ 
handle	handle	619	2101	VB 
shown	show	1033	2101	VBN 
gripping	grip	597	2162	VBG 
preferably	preferably	1076	2162	RB 
attached	attach	1301	2162	VBN 
lower	lower	340	2222	JJR 
portion	portion	466	2222	NN 
handle	handle	755	2222	VB 
includes	include	340	2283	VBZ 
jaw	jaw	553	2283	NN 
attached	attach	708	2283	VBN 
socket	socket	1203	2283	NN 
distally	distally	1410	2283	RB 
spaced	space	340	2344	VBN 
opposition	opposition	575	2343	NN 
claw	claw	980	2344	NN 
distal	distal	1307	2343	NN 
space	space	1447	2357	NN 
claw	claw	612	2403	NN 
jaw	jaw	972	2403	NN 
formed	form	1197	2403	VBN 
snugly	snugly	1424	2403	RB 
engage	engage	340	2479	VB 
piece	piece	537	2464	NN 
lumber	lumber	722	2464	NN 
jaw	jaw	1416	2464	NN 
preferably	preferably	339	2525	RB 
includes	include	566	2525	VBZ 
plurality	plurality	793	2525	NN 
teeth	tooth	1045	2525	NNS 
gripping	grip	1308	2525	VBG 
piece	piece	339	2586	NN 
lumber	lumber	524	2586	NN 
shown	show	564	2659	VBN 
jaw	jaw	1361	2659	NN 
secured	secure	340	2718	VBN 
socket	socket	649	2718	NN 
opposing	oppose	865	2718	VBG 
claw	claw	1149	2718	NN 
spaced	space	1421	2718	VBN 
claw	claw	526	2779	NN 
finite	finite	734	2779	JJ 
distance	distance	1135	2779	NN 
claw	claw	340	2840	NN 
jaw	jaw	680	2840	NN 
preferably	preferably	888	2840	RB 
wider	wide	1113	2840	JJR 
width	width	1385	2840	NN 
piece	piece	426	2900	NN 
lumber	lumber	624	2900	NN 
shown	show	1040	2900	VBN 
typical	typical	669	2961	JJ 
width	width	832	2961	NN 
conventional	conventional	1095	2961	JJ 
piece	piece	1383	2961	NN 
lumber	lumber	340	3020	NN 
approximately	approximately	612	3020	RB 
inches	inch	997	3020	NNS 
vary	vary	1313	3033	VB 
plus	plus	1417	3020	CC 
minus	minus	340	3081	NN 
shown	show	817	3081	VBN 
jaw	jaw	1239	3081	NN 
includes	include	1390	3081	VBZ 
broad	broad	375	3141	JJ 
narrow	narrow	718	3154	JJ 
broad	broad	1069	3141	JJ 
jaw	jaw	1417	3141	NN 
attached	attach	389	3202	VBN 
socket	socket	696	3202	NN 
jaw	jaw	1062	3202	NN 
preferably	preferably	1216	3202	RB 
tapers	taper	1439	3208	NNS 
upward	upward	339	3263	RB 
towards	towards	506	3263	IN 
claw	claw	755	3263	NN 
forms	form	1108	3263	NNS 
narrow	narrow	1316	3276	JJ 
distance	distance	441	3322	NN 
narrow	narrow	900	3335	JJ 
claw	claw	1337	3322	NN 
preferably	preferably	339	3383	RB 
wider	wide	563	3383	JJR 
width	width	880	3383	NN 
piece	piece	1151	3383	NN 
lumber	lumber	1335	3383	NN 
shown	show	465	3453	VBN 
jaw	jaw	1262	3453	NN 
upper	upper	339	3525	JJ 
slanted	slant	483	3512	VBN 
surface	surface	651	3512	NN 
opposing	oppose	825	3512	VBG 
claw	claw	1127	3512	NN 
upper	upper	1443	3525	JJ 
slanted	slant	340	3574	VBN 
surface	surface	496	3573	NN 
preferably	preferably	651	3573	RB 
includes	include	874	3573	VBZ 
plurality	plurality	1088	3573	NN 
teeth	tooth	1327	3574	NNS 
gripping	grip	340	3633	VBG 
piece	piece	607	3633	NN 
lumber	lumber	791	3633	NN 
alternative	alternative	504	3703	NN 
piece	piece	1123	3703	NN 
hammer	hammer	1244	3703	NN 
claw	claw	987	3764	NN 
striking	strike	1293	3764	JJ 
head	head	1465	3764	NN 
secured	secure	404	3823	VBN 
handle	handle	658	3823	VB 
wherein	wherein	1124	3823	NN 
jaw	jaw	1372	3823	NN 
secured	secure	340	3884	VBN 
handle	handle	647	3884	VB 
adjacent	adjacent	869	3884	JJ 
claw	claw	1133	3884	NN 
user	user	749	3967	NN 
air	air	854	3954	NN 
nailers	nailer	922	3954	NNS 
piece	piece	1152	3954	NN 
lumber	lumber	1335	3954	NN 
piece	piece	530	4013	NN 
lumber	lumber	708	4014	NN 
twisted	twist	976	4013	VBN 
due	due	1137	4013	JJ 
water	water	1274	4019	NN 
damage	damage	1402	4014	NN 
Typically	Typically	699	4074	RB 
user	user	996	4087	NN 
forced	force	1161	4074	VBN 
twist	twist	1376	4074	NN 
lumber	lumber	340	4134	NN 
hand	hand	646	4134	NN 
tool	tool	959	4134	NN 
hammer	hammer	1334	4134	NN 
manipulate	manipulate	340	4195	VB 
lumber	lumber	679	4195	NN 
front	front	1185	4195	NN 
edge	edge	1308	4195	NN 
lumber	lumber	340	4254	NN 
flush	flush	706	4254	JJ 
securing	secure	885	4254	VBG 
sheet	sheet	1069	4254	NN 
rock	rock	1184	4255	NN 
sheet	sheet	1455	4254	NN 
material	material	340	4315	NN 
invention	invention	1194	4315	NN 
utilized	utilize	339	4376	VBN 
conventional	conventional	598	4376	JJ 
hammer	hammer	876	4377	NN 
lumber	lumber	1237	4376	NN 
twisting	twist	1397	4376	VBG 
lumber	lumber	704	4436	NN 
user	user	1306	4449	NN 
simply	simply	1421	4436	RB 
positions	position	339	4497	NNS 
jaw	jaw	613	4497	NN 
claw	claw	941	4497	NN 
portion	portion	1315	4497	NN 
O	O	1610	1064	NN 
bo	bo	1590	1668	NN 
O	O	1610	1668	NN 
bo	bo	1590	1970	NN 
tn	tn	1610	1969	NN 
O	O	1591	4387	NN 
tn	tn	1610	4385	NN 
cross	cross	1660	524	NN 
section	section	1786	511	NN 
lumber	lumber	2098	511	NN 
user	user	2445	524	NN 
manipulates	manipulate	2553	511	VBZ 
handle	handle	1660	571	VB 
towards	towards	1868	571	IN 
claw	claw	2113	571	NN 
thereby	thereby	2282	571	RB 
forcing	force	2445	571	VBG 
lumber	lumber	2675	571	NN 
twist	twist	1712	632	NN 
desired	desire	1987	632	VBN 
user	user	2646	645	NN 
air	air	2829	632	NN 
nailer	nailer	1660	693	NN 
nail	nail	1841	693	NN 
lumber	lumber	2121	693	NN 
retain	retain	2419	693	VB 
proper	proper	2746	706	JJ 
user	user	1963	765	NN 
simply	simply	2072	752	RB 
removes	remove	2236	765	VBZ 
invention	invention	2689	752	NN 
lumber	lumber	1847	813	NN 
stores	store	2154	819	NNS 
combination	combination	2361	813	NN 
hammer	hammer	2627	813	NN 
lumber	lumber	1660	873	NN 
manipulating	manipulate	1825	873	NN 
tool	tool	2115	873	NN 
tool	tool	2388	873	NN 
belt	belt	2486	873	NN 
conventional	conventional	1813	934	JJ 
jaw	jaw	2384	934	NN 
prevents	prevent	2706	939	VBZ 
removal	removal	1660	993	NN 
invention	invention	1985	993	NN 
loop	loop	2351	993	NN 
tool	tool	2600	993	NN 
invention	invention	1820	1054	NN 
fits	fit	2024	1054	NNS 
various	various	2097	1054	JJ 
sizes	size	2260	1054	NNS 
wood	wood	2425	1054	NN 
due	due	2553	1054	JJ 
treatment	treatment	2689	1060	NN 
weathered	weather	1718	1115	VBN 
conditions	condition	1945	1115	NNS 
jaw	jaw	2425	1115	NN 
shorter	short	2635	1115	JJR 
claw	claw	1735	1175	NN 
thereby	thereby	1908	1175	RB 
allowing	allow	2074	1175	VBG 
lumber	lumber	2338	1175	NN 
inserted	insert	2670	1175	VBN 
angle	angle	1727	1236	NN 
distal	distal	2028	1236	NN 
space	space	2155	1249	NN 
discussion	discussion	2053	1308	NN 
manner	manner	2434	1321	NN 
usage	usage	2668	1321	NN 
operation	operation	1660	1368	NN 
apparent	apparent	1662	1435	JJ 
discussion	discussion	1766	1488	NN 
relating	relate	1995	1488	VBG 
manner	manner	2301	1501	NN 
usage	usage	2528	1501	NN 
respect	respect	1833	1628	NN 
description	description	2291	1622	NN 
realized	realize	1660	1681	VBN 
optimum	optimum	2006	1681	JJ 
dimensional	dimensional	2206	1681	NN 
relationships	relationship	2470	1681	NNS 
include	include	2160	1742	VBP 
variations	variation	2319	1742	NNS 
function	function	1943	1803	NN 
manner	manner	2229	1816	NN 
assembly	assembly	2693	1803	NN 
deemed	deem	1938	1863	VBN 
readily	readily	2116	1863	RB 
apparent	apparent	2279	1869	JJ 
obvious	obvious	2567	1863	JJ 
skilled	skilled	1660	1924	JJ 
equivalent	equivalent	2204	1924	NN 
relationships	relationship	2436	1924	NNS 
illustrated	illustrate	1660	1983	VBN 
drawings	drawing	2004	1983	NNS 
described	describe	2290	1983	VBN 
specification	specification	2625	1983	NN 
intended	intend	1739	2044	VBN 
encompassed	encompass	2053	2044	VBN 
foregoing	foregoing	2013	2114	NN 
considered	consider	2271	2114	VBN 
